id_plot,pub_year,cite,id_reference,forest_type,species,site_original,treatment_original,lat,long,elev,aspect_value,aspect_unit,slope,slope_units,density_tree_ha_mean,density_tree_ha_sd,dbh_cm_mean,dbh_cm_sd,height_m_mean,height_m_se,basal_area_m2_ha_mean,basal_area_m2_ha_sd,n_trees,n_cores,time_start,time_end,time_start_best_replicated,time_years,time_years_sd,time_years_replicated_more5,rw_mm_mean,rw_mm_sd,,,,,,
1,2023,Navarro-Cerrillo et al. (2023),NavarroCerrilloetal2023DevelopingAlternatives,afforestation,Pinus sylvestris,Nevada A,Control,37.049400,-3.051800,2036,S,cardinal,30,percentage,1752,,21.97,0.7,12.06,0.2,43.96,,15,30,1977,2020,,44,,,2.42,0.05,,,,,,
2,2023,Navarro-Cerrillo et al. (2023),NavarroCerrilloetal2023DevelopingAlternatives,afforestation,Pinus sylvestris,Nevada A,Moderate Thining (50% Basal Area),37.049200,-3.052700,2025,S,cardinal,20,percentage,1051,,21.3,0.6,11.24,0.2,20.66,,15,30,1977,2020,,44,,,2.23,0.08,,,,,,
3,2023,Navarro-Cerrillo et al. (2023),NavarroCerrilloetal2023DevelopingAlternatives,afforestation,Pinus sylvestris,Nevada A,Heavy Thining (70% Basal Area),37.049300,-3.050800,2031,S-SW,cardinal,20,percentage,526,,18.17,0.5,9.09,0.3,9.02,,15,30,1977,2020,,44,,,2.32,0.05,,,,,,
4,2023,Navarro-Cerrillo et al. (2023),NavarroCerrilloetal2023DevelopingAlternatives,afforestation,Pinus nigra,Nevada B,Control,37.042100,-3.055600,1888,S,cardinal,20,percentage,1610,,16.5,0.5,7.79,0.2,26.51,,15,30,1987,2020,,34,,,2.3,0.08,,,,,,
5,2023,Navarro-Cerrillo et al. (2023),NavarroCerrilloetal2023DevelopingAlternatives,afforestation,Pinus nigra,Nevada B,Moderate Thining (50% Basal Area),37.037300,-3.044400,1793,S-SW,cardinal,20,percentage,966,,18.63,0.8,8.77,0.2,16.9,,15,30,1987,2020,,34,,,2.41,0.06,,,,,,
6,2023,Navarro-Cerrillo et al. (2023),NavarroCerrilloetal2023DevelopingAlternatives,afforestation,Pinus nigra,Nevada B,Heavy Thining (70% Basal Area),37.038000,-3.045400,1810,S,cardinal,25,percentage,483,,18.75,0.6,8.97,0.2,10.27,,15,30,1987,2020,,34,,,2.55,0.08,,,,,,
7,2023,Navarro-Cerrillo et al. (2023),NavarroCerrilloetal2023DevelopingAlternatives,afforestation,Pinus halepensis,Dilar M,Control,37.048500,-3.566200,1256,W,cardinal,20,percentage,992,,24.04,1.4,13.17,0.7,28.5,,15,30,1957,2020,,64,,,1.93,0.09,,,,,,
8,2023,Navarro-Cerrillo et al. (2023),NavarroCerrilloetal2023DevelopingAlternatives,afforestation,Pinus halepensis,Dilar M,Moderate Thining (30% Basal Area),37.047800,-3.566600,1263,W,cardinal,30,percentage,694,,25.18,1.5,12.27,0.5,21.86,,15,30,1960,2020,,61,,,2.06,0.11,,,,,,
9,2023,Navarro-Cerrillo et al. (2023),NavarroCerrilloetal2023DevelopingAlternatives,afforestation,Pinus halepensis,Dilar M,Heavy Thining (50% Basal Area),37.047500,-3.565100,1301,NW,cardinal,35,percentage,496,,26.8,0.8,12.11,0.4,17.72,,15,30,1960,2020,,61,,,2.1,0.07,,,,,,
10,2021,Pérez-Luque et al. (2021),PerezLuqueetal2021LanduseLegacies,natural forest,Quercus pyrenaica,CA-High,,36.96612893,-3.420702668,1865,,,12.11,degrees,348,147.1,69.8,20.5,15.4,1.8,39.13,24.31,15,30,1836,2016,,181,,164,1.253,0.781,,,,,,
